Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,1,4
t1,0.2168111571934837,5.723783223197497,0.0,0.0,0.0,0.0,0.0,32.11932661720013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0065946427839447,40.26938808079441,0.0,0.0,0.0,0.0,0.0,0.0,3.544709790666701,0.0,0.0,0.0,18020.395948213936,0.0,0.0,0.0,0.0,0.0,0.0,17966.04280135223,0.0,0.0,0.0,0.0,0.0,0.0,18131.766218726876,0.0,0.0,0.0,0.0,0.0,0.0,17911.890166705613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.22113232353415854,5.338472561262976,0.0,0.0,0.0,0.0,0.0,29.537492751431756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388040947683899,36.952558285171676,0.0,0.0,0.0,0.0,0.0,0.0,3.204964573040896,0.0,0.0,0.0,17907.374429623815,0.0,0.0,0.0,0.0,0.0,0.0,17846.611191190783,0.0,0.0,0.0,0.0,0.0,0.0,18011.075375876695,0.0,0.0,0.0,0.0,0.0,0.0,17795.960431082865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.222053919307189,5.057460486690223,0.0,0.0,0.0,0.0,0.0,27.610434543306155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897692046147376,34.466582379871745,0.0,0.0,0.0,0.0,0.0,0.0,2.8869047192873465,0.0,0.0,0.0,17805.33555687373,0.0,0.0,0.0,0.0,0.0,0.0,17742.00595450308,0.0,0.0,0.0,0.0,0.0,0.0,17903.935495456197,0.0,0.0,0.0,0.0,0.0,0.0,17692.56224213608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.22232648155530169,4.826431766288936,0.0,0.0,0.0,0.0,0.0,25.91806821014472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866732766410621,32.276816064473564,0.0,0.0,0.0,0.0,0.0,0.0,2.5729597450664166,0.0,0.0,0.0,17717.23142004667,0.0,0.0,0.0,0.0,0.0,0.0,17653.604574605666,0.0,0.0,0.0,0.0,0.0,0.0,17812.22458966878,0.0,0.0,0.0,0.0,0.0,0.0,17603.822265016122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.22275904085068315,4.626788124586479,0.0,0.0,0.0,0.0,0.0,24.25396074773933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344226218888139,30.118634169340833,0.0,0.0,0.0,0.0,0.0,0.0,2.2530360593181484,0.0,0.0,0.0,17644.235956832847,0.0,0.0,0.0,0.0,0.0,0.0,17581.327343665173,0.0,0.0,0.0,0.0,0.0,0.0,17736.727412888704,0.0,0.0,0.0,0.0,0.0,0.0,17530.873946274845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.2245300708060594,4.4511152968790535,0.0,0.0,0.0,0.0,0.0,22.52923432092993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7911886417898429,27.93304228984837,0.0,0.0,0.0,0.0,0.0,0.0,1.9178358444030683,0.0,0.0,0.0,17595.49196945655,0.0,0.0,0.0,0.0,0.0,0.0,17533.69496354954,0.0,0.0,0.0,0.0,0.0,0.0,17686.587643427843,0.0,0.0,0.0,0.0,0.0,0.0,17482.81433103291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.23399319614139727,4.298059211266122,0.0,0.0,0.0,0.0,0.0,20.829502504766275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7315062084276969,25.980927261432218,0.0,0.0,0.0,0.0,0.0,0.0,1.553993376708056,0.0,0.0,0.0,17564.520040337942,0.0,0.0,0.0,0.0,0.0,0.0,17503.82582788817,0.0,0.0,0.0,0.0,0.0,0.0,17654.7383466212,0.0,0.0,0.0,0.0,0.0,0.0,17452.628316548667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.2236707957458819,4.2234693625618585,0.0,0.0,0.0,0.0,0.0,21.942760386173628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750330472767831,27.51612639407627,0.0,0.0,0.0,0.0,0.0,0.0,1.128602263793229,0.0,0.0,0.0,17557.30140829799,0.0,0.0,0.0,0.0,0.0,0.0,17497.09363806698,0.0,0.0,0.0,0.0,0.0,0.0,17647.19223599718,0.0,0.0,0.0,0.0,0.0,0.0,17445.735238929577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.22463477186012176,4.368634263031557,0.0,0.0,0.0,0.0,0.0,23.566316716976843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7359701546586044,29.59115013651037,0.0,0.0,0.0,0.0,0.0,0.0,1.6419820211524263,0.0,0.0,0.0,17594.411473852506,0.0,0.0,0.0,0.0,0.0,0.0,17534.244233809903,0.0,0.0,0.0,0.0,0.0,0.0,17683.61963456966,0.0,0.0,0.0,0.0,0.0,0.0,17482.97252351731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.22313328875947283,4.515574111045959,0.0,0.0,0.0,0.0,0.0,25.1984373058975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078244683883624,31.675800773427394,0.0,0.0,0.0,0.0,0.0,0.0,2.0075566502327837,0.0,0.0,0.0,17668.82859535984,0.0,0.0,0.0,0.0,0.0,0.0,17609.255355543817,0.0,0.0,0.0,0.0,0.0,0.0,17755.64816540268,0.0,0.0,0.0,0.0,0.0,0.0,17557.248623509942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.22242721855767397,4.663869220228493,0.0,0.0,0.0,0.0,0.0,26.839332266033367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8437009250727028,33.770392644407025,0.0,0.0,0.0,0.0,0.0,0.0,2.314664142988609,0.0,0.0,0.0,17775.86421646544,0.0,0.0,0.0,0.0,0.0,0.0,17718.426807546566,0.0,0.0,0.0,0.0,0.0,0.0,17858.20952157035,0.0,0.0,0.0,0.0,0.0,0.0,17662.769545650957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.22197092249950012,4.813444648620591,0.0,0.0,0.0,0.0,0.0,28.489401873485143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626237191099414,35.875471128377576,0.0,0.0,0.0,0.0,0.0,0.0,2.5911904056943755,0.0,0.0,0.0,17883.47746652536,0.0,0.0,0.0,0.0,0.0,0.0,17827.91825523715,0.0,0.0,0.0,0.0,0.0,0.0,17962.468603252575,0.0,0.0,0.0,0.0,0.0,0.0,17769.6783989237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.2214639281215864,4.964165973314113,0.0,0.0,0.0,0.0,0.0,30.149696351676294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748831423143313,37.992331295307565,0.0,0.0,0.0,0.0,0.0,0.0,2.8479523748245046,0.0,0.0,0.0,17966.032344883624,0.0,0.0,0.0,0.0,0.0,0.0,17911.110193084292,0.0,0.0,0.0,0.0,0.0,0.0,18043.83762186802,0.0,0.0,0.0,0.0,0.0,0.0,17853.021543111165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.22019145237624738,5.116093422946191,0.0,0.0,0.0,0.0,0.0,31.822859596387268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887612626068353,40.12391599934673,0.0,0.0,0.0,0.0,0.0,0.0,3.0963317673630155,0.0,0.0,0.0,18022.44310282146,0.0,0.0,0.0,0.0,0.0,0.0,17967.321150119533,0.0,0.0,0.0,0.0,0.0,0.0,18100.239649194977,0.0,0.0,0.0,0.0,0.0,0.0,17910.384550127823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.21681767875643326,5.271302495085753,0.0,0.0,0.0,0.0,0.0,33.517856185175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9154356887623917,42.28169612437108,0.0,0.0,0.0,0.0,0.0,0.0,3.372294407859783,0.0,0.0,0.0,18053.458644843166,0.0,0.0,0.0,0.0,0.0,0.0,17998.032257069393,0.0,0.0,0.0,0.0,0.0,0.0,18131.406056256095,0.0,0.0,0.0,0.0,0.0,0.0,17941.954707059365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.20969087816853033,5.434846762204187,0.0,0.0,0.0,0.0,0.0,34.87825961371975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019018310214015,43.52667530218059,0.0,0.0,0.0,0.0,0.0,0.0,3.776007083792353,0.0,0.0,0.0,18063.366610452158,0.0,0.0,0.0,0.0,0.0,0.0,18008.187506001595,0.0,0.0,0.0,0.0,0.0,0.0,18141.320042954078,0.0,0.0,0.0,0.0,0.0,0.0,17952.036813180912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.22010372637742825,5.291227278104997,0.0,0.0,0.0,0.0,0.0,33.970142231421654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9265872112325939,41.97837261955344,0.0,0.0,0.0,0.0,0.0,0.0,3.497139758490921,0.0,0.0,0.0,18030.96461766486,0.0,0.0,0.0,0.0,0.0,0.0,17976.592377222674,0.0,0.0,0.0,0.0,0.0,0.0,18108.703369644267,0.0,0.0,0.0,0.0,0.0,0.0,17920.486986573786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.220828854699547,5.159501018283674,0.0,0.0,0.0,0.0,0.0,32.032698728577806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907125143700877,39.87924268579418,0.0,0.0,0.0,0.0,0.0,0.0,3.3154381156490507,0.0,0.0,0.0,17956.650544175158,0.0,0.0,0.0,0.0,0.0,0.0,17903.729283440538,0.0,0.0,0.0,0.0,0.0,0.0,18033.66397621414,0.0,0.0,0.0,0.0,0.0,0.0,17847.010314928233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.22198747826141405,5.044805802474128,0.0,0.0,0.0,0.0,0.0,30.38875882538888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8816467217667159,38.00921419348127,0.0,0.0,0.0,0.0,0.0,0.0,3.1880576035996824,0.0,0.0,0.0,17871.09983587872,0.0,0.0,0.0,0.0,0.0,0.0,17819.23680742258,0.0,0.0,0.0,0.0,0.0,0.0,17946.83808979588,0.0,0.0,0.0,0.0,0.0,0.0,17761.088199231588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.22271303402743045,4.942808373111086,0.0,0.0,0.0,0.0,0.0,29.150565680631146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8787706299564573,36.5140994852618,0.0,0.0,0.0,0.0,0.0,0.0,3.0761273491767485,0.0,0.0,0.0,17786.76562553463,0.0,0.0,0.0,0.0,0.0,0.0,17735.763518116706,0.0,0.0,0.0,0.0,0.0,0.0,17861.08446072735,0.0,0.0,0.0,0.0,0.0,0.0,17676.263021767518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.22308766407698136,4.849922747195933,0.0,0.0,0.0,0.0,0.0,28.169330993440795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769700832449541,35.297601320813776,0.0,0.0,0.0,0.0,0.0,0.0,2.9654340073132732,0.0,0.0,0.0,17704.85364372052,0.0,0.0,0.0,0.0,0.0,0.0,17654.70823715548,0.0,0.0,0.0,0.0,0.0,0.0,17777.836506841715,0.0,0.0,0.0,0.0,0.0,0.0,17594.322796914577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.2233255623630276,4.764488294806019,0.0,0.0,0.0,0.0,0.0,27.332464896281245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758379704676352,34.238162280229204,0.0,0.0,0.0,0.0,0.0,0.0,2.8530378947166395,0.0,0.0,0.0,17593.85087490828,0.0,0.0,0.0,0.0,0.0,0.0,17544.57198087153,0.0,0.0,0.0,0.0,0.0,0.0,17664.894194334338,0.0,0.0,0.0,0.0,0.0,0.0,17483.47704945067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.2234576744817303,4.685106596570625,0.0,0.0,0.0,0.0,0.0,26.591209129099774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8749020636854891,33.28961906503354,0.0,0.0,0.0,0.0,0.0,0.0,2.737323916668753,0.0,0.0,0.0,17448.62762731003,0.0,0.0,0.0,0.0,0.0,0.0,17399.69182089329,0.0,0.0,0.0,0.0,0.0,0.0,17517.13373181672,0.0,0.0,0.0,0.0,0.0,0.0,17339.265124359743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.22352216958601154,4.610873879453823,0.0,0.0,0.0,0.0,0.0,25.913567235036716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8737753108156925,32.4179144604544,0.0,0.0,0.0,0.0,0.0,0.0,2.6171648074231317,0.0,0.0,0.0,17295.427962613558,0.0,0.0,0.0,0.0,0.0,0.0,17246.482827278443,0.0,0.0,0.0,0.0,0.0,0.0,17361.2748441686,0.0,0.0,0.0,0.0,0.0,0.0,17187.417478498577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.22356502312340015,4.541074862962981,0.0,0.0,0.0,0.0,0.0,25.27297254885726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8721125678723589,31.590024189213874,0.0,0.0,0.0,0.0,0.0,0.0,2.491183445652175,0.0,0.0,0.0,17144.600069184253,0.0,0.0,0.0,0.0,0.0,0.0,17095.773398684083,0.0,0.0,0.0,0.0,0.0,0.0,17207.701569192395,0.0,0.0,0.0,0.0,0.0,0.0,17037.64101651957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.22360185530520532,4.47508073525812,0.0,0.0,0.0,0.0,0.0,24.64772140920325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8692115692264945,30.777586855759285,0.0,0.0,0.0,0.0,0.0,0.0,2.3576152316712093,0.0,0.0,0.0,17000.168549784263,0.0,0.0,0.0,0.0,0.0,0.0,16951.857607151676,0.0,0.0,0.0,0.0,0.0,0.0,17060.462074453128,0.0,0.0,0.0,0.0,0.0,0.0,16894.081447677185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.22364876373192585,4.412354202249359,0.0,0.0,0.0,0.0,0.0,24.019452092069436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638350349274334,29.95570639408733,0.0,0.0,0.0,0.0,0.0,0.0,2.214374411874248,0.0,0.0,0.0,16865.444091839287,0.0,0.0,0.0,0.0,0.0,0.0,16818.092460204592,0.0,0.0,0.0,0.0,0.0,0.0,16922.94073670135,0.0,0.0,0.0,0.0,0.0,0.0,16760.094319842807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.22376347273309757,4.352527545306609,0.0,0.0,0.0,0.0,0.0,23.373306348090477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8540017895378218,29.10391324477036,0.0,0.0,0.0,0.0,0.0,0.0,2.059088259256759,0.0,0.0,0.0,16747.655799412154,0.0,0.0,0.0,0.0,0.0,0.0,16701.712319757633,0.0,0.0,0.0,0.0,0.0,0.0,16802.573800398353,0.0,0.0,0.0,0.0,0.0,0.0,16643.053832949092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.22414088719816372,4.295455926534081,0.0,0.0,0.0,0.0,0.0,22.698088742458026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8365483293269252,28.20648322815227,0.0,0.0,0.0,0.0,0.0,0.0,1.889010085563839,0.0,0.0,0.0,16651.9157155825,0.0,0.0,0.0,0.0,0.0,0.0,16607.531577165148,0.0,0.0,0.0,0.0,0.0,0.0,16704.735029801013,0.0,0.0,0.0,0.0,0.0,0.0,16548.220178223095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.22534453223235545,4.241139694563615,0.0,0.0,0.0,0.0,0.0,21.987104779147856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064287964050691,27.254385423903283,0.0,0.0,0.0,0.0,0.0,0.0,1.698818170759152,0.0,0.0,0.0,16579.998348560242,0.0,0.0,0.0,0.0,0.0,0.0,16537.015457880396,0.0,0.0,0.0,0.0,0.0,0.0,16631.31689989189,0.0,0.0,0.0,0.0,0.0,0.0,16477.460481502872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.23056258390134002,4.188705133925908,0.0,0.0,0.0,0.0,0.0,21.2353930722595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7543753109662747,26.227613453233527,0.0,0.0,0.0,0.0,0.0,0.0,1.4674892582887584,0.0,0.0,0.0,16527.051557684066,0.0,0.0,0.0,0.0,0.0,0.0,16485.37698746146,0.0,0.0,0.0,0.0,0.0,0.0,16577.248512665974,0.0,0.0,0.0,0.0,0.0,0.0,16425.98980742261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.22680723266617087,4.104783019408641,0.0,0.0,0.0,0.0,0.0,20.597287293762662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5931396541899219,25.57702126604617,0.0,0.0,0.0,0.0,0.0,0.0,1.0698767146017099,0.0,0.0,0.0,16501.723964470137,0.0,0.0,0.0,0.0,0.0,0.0,16461.568036217315,0.0,0.0,0.0,0.0,0.0,0.0,16551.263972700086,0.0,0.0,0.0,0.0,0.0,0.0,16402.407875808844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.22564269709607931,4.249104217267668,0.0,0.0,0.0,0.0,0.0,22.20956627355633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7601198470783955,27.64400260539105,0.0,0.0,0.0,0.0,0.0,0.0,1.8426939812991348,0.0,0.0,0.0,16524.5525596379,0.0,0.0,0.0,0.0,0.0,0.0,16484.507628931704,0.0,0.0,0.0,0.0,0.0,0.0,16574.497562195083,0.0,0.0,0.0,0.0,0.0,0.0,16424.922610371286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.22401818656813943,4.393501599025679,0.0,0.0,0.0,0.0,0.0,23.818532529083058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8378193116217026,29.706408930608223,0.0,0.0,0.0,0.0,0.0,0.0,2.350383748086544,0.0,0.0,0.0,16579.028352687586,0.0,0.0,0.0,0.0,0.0,0.0,16539.502585858463,0.0,0.0,0.0,0.0,0.0,0.0,16629.945114583647,0.0,0.0,0.0,0.0,0.0,0.0,16478.68223737543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.22323071473175768,4.537139711311945,0.0,0.0,0.0,0.0,0.0,25.42653226046804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918664701459863,31.766474421780348,0.0,0.0,0.0,0.0,0.0,0.0,2.793501739633724,0.0,0.0,0.0,16655.69159205452,0.0,0.0,0.0,0.0,0.0,0.0,16617.3968706496,0.0,0.0,0.0,0.0,0.0,0.0,16707.559784310335,0.0,0.0,0.0,0.0,0.0,0.0,16554.58657458619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.22144135976894033,4.678821117359432,0.0,0.0,0.0,0.0,0.0,27.035416983793315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532652918747851,33.82717427707961,0.0,0.0,0.0,0.0,0.0,0.0,3.2408955553831604,0.0,0.0,0.0,16717.028580353694,0.0,0.0,0.0,0.0,0.0,0.0,16679.29162446,0.0,0.0,0.0,0.0,0.0,0.0,16770.108696117728,0.0,0.0,0.0,0.0,0.0,0.0,16615.382302163416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.21687172236014757,4.818294453531459,0.0,0.0,0.0,0.0,0.0,28.646701685154753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0802532995669276,35.89161722606057,0.0,0.0,0.0,0.0,0.0,0.0,3.8365786758096285,0.0,0.0,0.0,16741.855313403034,0.0,0.0,0.0,0.0,0.0,0.0,16704.129449369266,0.0,0.0,0.0,0.0,0.0,0.0,16795.55670994663,0.0,0.0,0.0,0.0,0.0,0.0,16639.947665073734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.2179914104753323,4.7534638757194845,0.0,0.0,0.0,0.0,0.0,28.816046838152406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544249817803385,36.368195457799374,0.0,0.0,0.0,0.0,0.0,0.0,3.5495779160357976,0.0,0.0,0.0,16731.258103945816,0.0,0.0,0.0,0.0,0.0,0.0,16694.019297673585,0.0,0.0,0.0,0.0,0.0,0.0,16784.81744184316,0.0,0.0,0.0,0.0,0.0,0.0,16629.875147757633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.22081199703756538,4.704989855348482,0.0,0.0,0.0,0.0,0.0,28.194422332536544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9114941875119654,35.49217650035978,0.0,0.0,0.0,0.0,0.0,0.0,3.3833082695625056,0.0,0.0,0.0,16682.6006829786,0.0,0.0,0.0,0.0,0.0,0.0,16646.237249250196,0.0,0.0,0.0,0.0,0.0,0.0,16735.46162435444,0.0,0.0,0.0,0.0,0.0,0.0,16582.67335607535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.22253122233210318,4.666730746737489,0.0,0.0,0.0,0.0,0.0,27.620675690441686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8956572725427862,34.70948905614486,0.0,0.0,0.0,0.0,0.0,0.0,3.26355521121288,0.0,0.0,0.0,16592.827236324123,0.0,0.0,0.0,0.0,0.0,0.0,16556.52940350704,0.0,0.0,0.0,0.0,0.0,0.0,16644.161097477292,0.0,0.0,0.0,0.0,0.0,0.0,16494.482668953766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.22292810695934734,4.630267394857053,0.0,0.0,0.0,0.0,0.0,27.11291602727093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886173157270048,34.022616364044715,0.0,0.0,0.0,0.0,0.0,0.0,3.155998082831195,0.0,0.0,0.0,16463.882108468453,0.0,0.0,0.0,0.0,0.0,0.0,16427.08405054332,0.0,0.0,0.0,0.0,0.0,0.0,16512.77429558124,0.0,0.0,0.0,0.0,0.0,0.0,16367.218752613933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.22328929824888116,4.595065482444591,0.0,0.0,0.0,0.0,0.0,26.667480474998136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8811945599760583,33.427488343117446,0.0,0.0,0.0,0.0,0.0,0.0,3.056571277282335,0.0,0.0,0.0,16305.715477401214,0.0,0.0,0.0,0.0,0.0,0.0,16268.660052827972,0.0,0.0,0.0,0.0,0.0,0.0,16351.14794049035,0.0,0.0,0.0,0.0,0.0,0.0,16210.259660755113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,0.22335320048562915,4.560373744156167,0.0,0.0,0.0,0.0,0.0,26.271631461597696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8778418714692003,32.90455852267357,0.0,0.0,0.0,0.0,0.0,0.0,2.958998745412121,0.0,0.0,0.0,16139.168069298623,0.0,0.0,0.0,0.0,0.0,0.0,16102.558696982513,0.0,0.0,0.0,0.0,0.0,0.0,16181.772158726219,0.0,0.0,0.0,0.0,0.0,0.0,16045.178296490018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.2233941020346665,4.52618048836964,0.0,0.0,0.0,0.0,0.0,25.913842878767365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8759787861612004,32.436493853124475,0.0,0.0,0.0,0.0,0.0,0.0,2.86505383325293,0.0,0.0,0.0,15973.679360340731,0.0,0.0,0.0,0.0,0.0,0.0,15937.58968529993,0.0,0.0,0.0,0.0,0.0,0.0,16013.816547900977,0.0,0.0,0.0,0.0,0.0,0.0,15881.425195451846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.2234012449325595,4.492388624482086,0.0,0.0,0.0,0.0,0.0,25.583706297503507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8748793398509465,32.0080574708383,0.0,0.0,0.0,0.0,0.0,0.0,2.772005369717625,0.0,0.0,0.0,15813.067929011097,0.0,0.0,0.0,0.0,0.0,0.0,15777.835782370421,0.0,0.0,0.0,0.0,0.0,0.0,15851.056908297163,0.0,0.0,0.0,0.0,0.0,0.0,15722.608568867228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,0.22339918880165924,4.458922649390528,0.0,0.0,0.0,0.0,0.0,25.27093534220205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8741869856499415,31.60408839206921,0.0,0.0,0.0,0.0,0.0,0.0,2.6780035771395316,0.0,0.0,0.0,15642.38273628648,0.0,0.0,0.0,0.0,0.0,0.0,15607.539101057568,0.0,0.0,0.0,0.0,0.0,0.0,15678.517824271124,0.0,0.0,0.0,0.0,0.0,0.0,15553.58345475301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
